"Price","Age","KM","FuelType","HP","MetColor","Automatic","CC","Doors","Weight","rpart"
11500,35,24011,"Petrol",97,0,0,1400,3,1025,12485.0396825397
11950,58,34000,"Petrol",110,0,0,1600,5,1075,9288.48936170213
8950,57,52548,"Petrol",110,0,0,1600,3,1050,10846.0248447205
7950,73,107108,"Petrol",110,1,0,1600,3,1050,7882.74736842105
9250,53,90097,"Diesel",69,1,0,1900,5,1140,10846.0248447205
9950,63,57124,"Petrol",110,1,0,1600,3,1065,9288.48936170213
8400,60,52487,"Petrol",110,1,0,1600,4,1035,9288.48936170213
11500,44,89757,"Petrol",110,1,0,1600,3,1045,12485.0396825397
7800,65,66000,"Petrol",86,1,0,1300,3,1015,9288.48936170213
7750,63,109230,"Petrol",110,0,0,1600,3,1050,9288.48936170213
8750,58,51712,"Petrol",110,0,0,1600,3,1050,9288.48936170213
6950,79,218118,"Diesel",72,0,0,2000,5,1150,7882.74736842105
11950,42,30190,"Petrol",110,1,0,1600,5,1075,12485.0396825397
10995,59,87654,"Petrol",86,1,1,1300,5,1065,9288.48936170213
9950,46,68414,"Petrol",97,0,0,1400,3,1025,10846.0248447205
10750,48,36005,"Petrol",97,1,0,1400,5,1065,10846.0248447205
9950,37,44757,"Petrol",97,0,0,1400,3,1025,12485.0396825397
10995,63,68153,"Petrol",110,1,0,1600,5,1085,9288.48936170213
9800,68,83000,"Petrol",107,1,1,1600,5,1100,9288.48936170213
10900,50,46000,"Petrol",97,0,0,1400,3,1025,10846.0248447205
9250,58,68723,"Petrol",86,0,0,1300,3,1025,9288.48936170213
10950,65,64630,"Petrol",110,0,0,1600,5,1070,9288.48936170213
6750,77,200732,"Diesel",72,1,0,2000,4,1100,7882.74736842105
11895,39,27170,"Petrol",97,1,0,1400,5,1060,12485.0396825397
13950,35,32941,"Petrol",110,1,0,1600,5,1080,12485.0396825397
11950,41,29056,"Petrol",97,1,0,1400,5,1060,12485.0396825397
10750,55,52149,"Petrol",97,1,0,1400,3,1085,10846.0248447205
19950,19,17038,"Petrol",110,0,0,1600,5,1130,16926.7105263158
6950,65,114383,"Diesel",90,0,0,2000,3,1260,9288.48936170213
9900,68,93296,"Petrol",110,1,0,1600,5,1090,9288.48936170213
7350,65,140168,"Diesel",72,1,0,2000,3,1115,9288.48936170213
9250,48,142130,"CNG",110,0,0,1600,5,1119,8012.5
10450,35,91456,"Diesel",69,1,0,1900,3,1110,12485.0396825397
10500,50,54465,"Petrol",110,0,0,1600,5,1075,10846.0248447205
7750,76,60833,"Petrol",110,1,0,1600,4,1035,7882.74736842105
7950,61,88127,"Petrol",86,0,0,1300,3,1015,9288.48936170213
9750,66,63328,"Petrol",86,0,1,1300,5,1065,9288.48936170213
8895,61,50925,"Petrol",110,1,0,1600,5,1070,9288.48936170213
7900,68,204250,"Diesel",72,0,0,2000,3,1115,9288.48936170213
11950,51,98040,"Petrol",110,0,0,1600,5,1080,10846.0248447205
11950,42,61300,"Petrol",97,1,0,1400,3,1030,12485.0396825397
11650,39,37782,"Petrol",97,1,0,1400,5,1060,12485.0396825397
10950,57,55000,"Petrol",110,0,0,1600,5,1075,10846.0248447205
8950,68,140000,"Petrol",110,1,0,1600,5,1085,9288.48936170213
